tic_id,spectype,Teff,R,M,met,L
TIC 4070275,M4 V,3528.0,0.4684,29.986034871575306,-4.392,25.070821929104806
TIC 408229533,G8 V,5426.0,0.95,30.30710608212259,-4.45,26.428071929104807
TIC 408636441,M0.0 V,4065.0,0.597,30.08097853452696,-4.49,25.525821929104804
TIC 411839167,F5 V,6202.0,1.586,30.418091685322455,-4.399,27.109311929104805
TIC 413248763,M2.5 V,3505.0,0.337,29.83253201641681,-4.66,24.784641929104804
TIC 418761354,K5 V,4503.0,0.72,30.14360395037493,-4.54,25.861721929104807
TIC 4205424,G8 V,5552.0,1.0,30.2527484198,-4.65,26.442971929104807
TIC 422214062,K9 V,4685.0,0.65,30.14360395037493,-4.71,25.537211929104807
TIC 422478973,G7 V,5538.0,0.9867,30.26698885891461,-4.53,26.497951929104804
TIC 422756130,M1 V,3690.0,0.515,30.00862327547249,-4.54,25.229371929104808
TIC 424934357,M1.0 V,3799.0,0.52226,30.02039892657563,-4.56,25.292071929104807
TIC 425206121,A8 V,7500.0,1.83,30.508020924903303,-4.66,27.560691929104806
TIC 425997655,K4 V,4684.0,0.71,30.1245807130615,-4.74,25.957721929104807
TIC 42821097,F9 V,6090.0,1.65,30.38129128067712,-4.56,27.126971929104805
TIC 429035886,M1.0 V,3745.0,0.568,30.073022876089222,-4.43,25.273171929104805
TIC 432247315,M0.5 V,3810.0,0.54,30.06193390392361,-4.64,25.307251929104805
TIC 434226736,M4.5 V,3207.0,0.2932,29.719121680986436,-4.39,24.494661929104804
TIC 437258837,G4 V,5759.0,1.0,30.298505910360674,-4.52,26.516971929104805
TIC 439403362,M4.5 V,3151.0,0.157,29.45079425474373,-4.72,23.924401929104807
TIC 440109725,M2 V,3567.0,0.3863,29.872537178088393,-4.86,24.919971929104808
TIC 440113053,K1 V,5215.0,0.849,30.250813920022797,-4.437,26.265121929104804
TIC 44082776,M0 V,4159.0,0.728,30.11141926700353,-3.94,25.737701929104805
TIC 441546821,F3 V,6651.0,1.49,30.46582324510885,-4.54,27.166171929104806
