tic_id,gaia_id,spectype,M,L,Teff,R,met
TIC 157698565,5566108398204103424,G,30.26698885891461,26.58596940702207,5565.2153,1.0876,-4.42
TIC 157910432,6339097679918871168,A,30.606001948273885,28.143303192406616,9757.48,2.097,-4.25
TIC 158297421,6658373007402886400,K,30.12716580689599,25.851358707266744,4550.635,0.6966,-4.653
TIC 158320130,2106235301785454208,K,30.179319502641466,25.82889879310108,4267.307,0.8023,-4.6
TIC 158840777,2127798958189867392,F,30.384865741035423,26.809773974956162,6158.8687,1.1162,-4.53
TIC 159511543,1709456705329541504,F,30.366691772106833,26.603905971765627,5800.2227,1.0153,-4.55
TIC 160148385,4990044668377961984,G,30.26244987743073,26.582518895538456,5617.147,1.0736,-4.33
TIC 162289289,1900293230549817856,G,30.304971952609904,26.395877742909235,5314.0596,0.9581,-4.156
TIC 162802770,5382970374226953600,F,30.36296389958759,26.896472708974322,5967.047,1.338,-4.69
TIC 16288184,6032746832450438400,F,30.39749554976185,26.890149969914113,6242.985,1.2247,-4.203
TIC 163539739,1867491607542113536,M,30.03089967018364,25.46238596593421,3689.7063,0.6201,-4.55
TIC 164767175,5140454049422547200,G,30.25754730268177,26.505141463759024,5544.82,0.9901,-4.63
TIC 165297570,727624020367528576,F,30.3776871564083,27.149272495890415,6274.923,1.6248,-4.42
TIC 165464482,1562935820172427392,F,30.354648172419726,27.005051678965575,6028.348,1.4565,-4.519
TIC 166806344,4886825544715697792,G,30.2993736318919,26.65353145796465,5430.7607,1.1876,-4.19
TIC 167656187,5480006192386819456,F,30.434592007744772,27.09635681749609,6438.207,1.4563,-4.44
TIC 168281028,5472386851683941376,G,30.247895917005586,26.60587158583969,5508.164,1.1224,-4.642
TIC 169504920,6766134630213144704,F,30.39784118804663,26.96029864802118,6231.6646,1.3275,-4.341
TIC 170634116,4884779765893739904,F,30.441520710614768,27.239580987101736,6648.8203,1.6238,-4.51
TIC 170849515,4877426575724467456,K,30.119363899800373,25.679122794245288,4197.432,0.6655,-4.218
TIC 171975725,2075056519291867648,K,30.283483036776165,26.296432045256424,5086.321,0.9407,-4.3790000000000004
TIC 172370679,2073530190996615424,K,30.099222988643056,25.649212458149837,4194.6357,0.6498,-4.26
TIC 172954294,746545172372256384,G,30.283932384443673,26.71620063261056,5759.9775,1.1855,-4.34
TIC 175193677,666427539629086976,F,30.374052871753204,26.832915477700293,6026.558,1.2299,-4.38
TIC 175194958,664292459846946560,M,30.00607608645861,25.29089781998379,3714.4075,0.5342,-4.36
TIC 175241633,659493675706526848,K,30.16773763009165,25.924511557807616,4687.2925,0.7481,-4.65
TIC 175265494,661004400386393984,K,30.21231976274439,26.02408311704173,4843.326,0.7299,-4.47
TIC 175290685,661398407803108736,G,30.28973198605317,26.667283526210994,5727.6255,1.1012,-4.59
